predicted_category,raw_response,model_used,usage,status,latency,exact_match,partial_match,used_fallback,true_category,product_description,prompt_name,model,from_cache,timestamp,langsmith_enabled,mandatory_output
skin/moisturisers,skin/moisturisers,o3-mini-2025-01-31,"{'completion_tokens': 338, 'prompt_tokens': 1124, 'total_tokens': 1462, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 320, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 1024}}",success,12.438294887542725,False,False,False,health-care/nebulizers,"Terpenic-Diffuser Pulse-The Diffuser Pulse utilizes ultrasonic water vaporization technology with chromotherapy and BLUETOOTH, enabling the diffusion of a wide range of essential oils or synergies, cr",prompt_mandatory_output,o3-mini,True,2025-08-06T16:48:50.062554,True,True
supplements-vitamins/vitamins-minerals,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 1079, 'total_tokens': 1579, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,5.51545786857605,False,False,True,mom-baby/maternity-essentials/strollers-accessories,"MomCozy-Adjustable Pillow-Discover Momcozy Adjustable Pregnancy and Nursing Pillow—your ultimate solution for pain-free, hands-free breastfeeding support. A baby registry essential loved by moms.Comfo",prompt_mandatory_output,o3-mini,True,2025-08-06T16:48:50.063227,True,True
hair/shampoo,hair/shampoo,o3-mini-2025-01-31,"{'completion_tokens': 272, 'prompt_tokens': 1012, 'total_tokens': 1284, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 256, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,3.4803175926208496,False,True,False,hair/dry-damaged-hair/shampoo,"Haan-Hair Shampoo-The sulfate-free Hair Shampoo cares for your hair from root to tip.Its prebiotic formula nourishes the beneficial bacteria on your scalp, promoting stronger hair growth!Enjoy the del",prompt_mandatory_output,o3-mini,True,2025-08-06T16:48:50.063227,True,True
skin/moisturisers,skin/moisturisers,o3-mini-2025-01-31,"{'completion_tokens': 146, 'prompt_tokens': 1039, 'total_tokens': 1185, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 128, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,2.2186625003814697,False,True,False,skin/loss-firmness/specific-moisturizers,"La Prairie-Skin Caviar Luxe Cream Sheer -Skin Caviar Luxe Cream Sheeris anindulgent lifting andfirming cream with caviar extracts,with a light and delicate texture.   A light texture that leaves the s",prompt_mandatory_output,o3-mini,True,2025-08-06T16:48:50.064092,True,True
skin/cleansers-tonners,skin/cleansers-tonners,o3-mini-2025-01-31,"{'completion_tokens': 148, 'prompt_tokens': 1096, 'total_tokens': 1244, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 128, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,2.5169968605041504,True,True,False,skin/cleansers-tonners,"Clarins-Soothing Gentle Foaming Cleanser-Discover CLARINS Soothing Gentle Foaming Cleanser, a soothing foaming cleanser for dry skin. Cleanse, comfort, and hydrate with nature’s finest ingredients.Exp",prompt_mandatory_output,o3-mini,True,2025-08-06T16:48:50.064092,True,True
skin/seruns,skin/seruns,o3-mini-2025-01-31,"{'completion_tokens': 210, 'prompt_tokens': 1055, 'total_tokens': 1265, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 192, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,2.726659059524536,False,True,False,skin/dark-spots/seruns,"Mesoestetic-Glycolic +E + F Ampoules-Glicolic + E + F ampoules | An intensive weekly treatment, for all skin types, that speeds up skin renewal!  Its concentrated formula accelerates cell renewal to r",prompt_mandatory_output,o3-mini,True,2025-08-06T16:48:50.064092,True,True
skin/moisturisers,skin/moisturisers,o3-mini-2025-01-31,"{'completion_tokens': 274, 'prompt_tokens': 1079, 'total_tokens': 1353, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 256, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,3.925920248031616,False,True,False,skin/dark-spots/specific-moisturizers,"Dermalogica-Biolumin-C Gel Moisturizer-Biolumin-C Gel Moisturizer is suitable for all skin types, especially for those concerned about fine lines, wrinkles, hyperpigmentation, and loss of firmness and",prompt_mandatory_output,o3-mini,True,2025-08-06T16:48:50.064092,True,True
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 1089, 'total_tokens': 1589, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,5.750087261199951,False,True,True,skin/cleansers-tonners/normal-skin,"Dermagius-Hyaluage Micelar Water-Discover Dermagius Hyaluage Micellar Water – the ultimate 2-in-1 solution for deep cleansing and hydration, perfect for all skin types.Cleanse deeply, hydrate effortle",prompt_mandatory_output,o3-mini,True,2025-08-06T16:48:50.067313,True,True
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 1200, 'total_tokens': 1700, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,5.6499412059783936,False,False,True,health-care/diabetics,Akileine-Akildia Multi-Protective Cream for Diabetic Feet-The diabetic has secondary problems due to theand altered glucose (sugar)concentrations in the blood. One of the consequences is theemergence ,prompt_mandatory_output,o3-mini,True,2025-08-06T16:48:50.067313,True,True
hair/contitioner,hair/contitioner,o3-mini-2025-01-31,"{'completion_tokens': 209, 'prompt_tokens': 1129, 'total_tokens': 1338, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 192, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,4.6542840003967285,False,True,False,hair/contitioner/hair-loss,"Some by Me-Cica Peptide Derma Scalp Conditioner-Nourish and soothe your scalp with SOME BY MI Cica Peptide Derma Scalp Conditioner, enriched with CICA, peptides, and biotin for healthier, shinier hair",prompt_mandatory_output,o3-mini,True,2025-08-06T16:48:50.068216,True,True
