predicted_category,raw_response,model_used,usage,status,latency,exact_match,partial_match,true_category,product_description,prompt_name,model,from_cache,timestamp,langsmith_enabled,api_provider
skin/eye-care/global-anti-aging,skin/eye-care/global-anti-aging,openai/gpt-oss-20b,"{'prompt_tokens': 4354, 'completion_tokens': 429, 'total_tokens': 4783}",success,0.76810622215271,True,True,skin/eye-care/global-anti-aging,"Projet 28-Le Contour Anti-Aging Cream-Discover Projet 28 Le Contour Anti-Aging Eye Contour Cream – the ultimate eye treatment for youthful, hydrated, and radiant skin. Smooths wrinkles, reduces puffin...",prompt_01,openai/gpt-oss-20b,True,2025-08-07T09:50:21.620704,True,groq
supplements-vitamins/fertility,supplements-vitamins/fertility,openai/gpt-oss-20b,"{'prompt_tokens': 4290, 'completion_tokens': 159, 'total_tokens': 4449}",success,0.72920823097229,False,False,mom-baby/before-birth/fertility,Conceive Plus-Conceive Plus Women's Fertility Support -Conceive plus fertility support female supplement is a targeted care for all women who intend to become pregnant.   A Vegetarian Supplement for W...,prompt_01,openai/gpt-oss-20b,True,2025-08-07T09:50:21.622697,True,groq
skin/masks-exfoliators/anti-spots-masks,skin/masks-exfoliators/anti-spots-masks,openai/gpt-oss-20b,"{'prompt_tokens': 4197, 'completion_tokens': 313, 'total_tokens': 4510}",success,1.8789703845977783,False,True,skin/masks-exfoliators/tissue-masks,"The Creme Shop-Be Clear, Skin! Animated Kitten Face Mask-Be Clear, Skin! Animated Kitten Face Mask cleanses your skin and has anti-acne properties.Face mask infused with witch hazel!Witch Hazel acts a...",prompt_01,openai/gpt-oss-20b,True,2025-08-07T09:50:21.625689,True,groq
health-care/diapers-incontinence,health-care/diapers-incontinence,openai/gpt-oss-20b,"{'prompt_tokens': 4209, 'completion_tokens': 248, 'total_tokens': 4457}",success,0.6814091205596924,True,True,health-care/diapers-incontinence,"Lindor-Bed Saver Shelter 60cmx90cm -Lindor bed saver, disposableshelter that absorb urine losses.   Help keep the bed clean.   They are ideal for keeping clean the sheets, beds or chairs of those peop...",prompt_01,openai/gpt-oss-20b,True,2025-08-07T09:50:21.628677,True,groq
sun-tan/face/combination-to-oily-skin,sun-tan/face/combination-to-oily-skin,openai/gpt-oss-20b,"{'prompt_tokens': 4232, 'completion_tokens': 504, 'total_tokens': 4736}",success,0.9051423072814941,False,True,sun-tan/face/sensitive-intolerant-skin,A Derma-Protect Invisible Fluid Face Normal to Combination Skin Pocket-Protect invisible fluidspf50+ pocket -Sunscreenfor normal to combination skin for face!Protects from UV radiation and reinforces ...,prompt_01,openai/gpt-oss-20b,True,2025-08-07T09:50:21.631666,True,groq
skin/deep-wrinkles/specific-moisturizers,skin/deep-wrinkles/specific-moisturizers,openai/gpt-oss-20b,"{'prompt_tokens': 4370, 'completion_tokens': 369, 'total_tokens': 4739}",success,0.7478384971618652,False,True,skin/global-anti-aging/specific-moisturizers,Lancome-Génifique Youth Activating Cream -Lanc&ocirc;me G&eacute;nific Youth Activating Creamis a smoothing treatment with enriched activesfor a renewedand wrinkles-free skin!  Features a velvety text...,prompt_01,openai/gpt-oss-20b,True,2025-08-07T09:50:21.635742,True,groq
fragrance/women,fragrance/women,openai/gpt-oss-20b,"{'prompt_tokens': 4387, 'completion_tokens': 168, 'total_tokens': 4555}",success,1.0973093509674072,True,True,fragrance/women,"Jean Paul Gaultier-Scandal Absolu Parfum Concentré-Unveil the bold allure of Jean Paul Gaultier Scandal Absolu Parfum Concentré — a captivating, sensual Chypre Amber fragrance that redefines luxury.Da...",prompt_01,openai/gpt-oss-20b,True,2025-08-07T09:50:21.638731,True,groq
body/deodorants,body/deodorants,openai/gpt-oss-20b,"{'prompt_tokens': 4294, 'completion_tokens': 125, 'total_tokens': 4419}",success,0.6831223964691162,True,True,body/deodorants,"Mukti-Botanique Deodorant-Discover Mukti Botanique Deodorant: A natural, aluminium-free formula ensuring fresh, toxin-free underarms all day!Stay Fresh Naturally!Key Benefits:Aluminium-Free: Safe, nat...",prompt_01,openai/gpt-oss-20b,True,2025-08-07T09:50:21.642721,True,groq
hair/contitioner/dry-to-very-dry-hair,hair/contitioner/dry-to-very-dry-hair,openai/gpt-oss-20b,"{'prompt_tokens': 4230, 'completion_tokens': 505, 'total_tokens': 4735}",success,1.839496374130249,False,True,hair/contitioner/hair-loss,"LOreal Professionnel-Serie Expert Inforcer Anti-Breakage Conditioner -Serie Expert Inforcer Conditioner allows your hair to become shinermore resistant.  Discover the new Series Expert INFORCER range,...",prompt_01,openai/gpt-oss-20b,True,2025-08-07T09:50:21.645881,True,groq
hair/anti-dandruff/shampoo,hair/anti-dandruff/shampoo,openai/gpt-oss-20b,"{'prompt_tokens': 4284, 'completion_tokens': 131, 'total_tokens': 4415}",success,0.5270137786865234,True,True,hair/anti-dandruff/shampoo,"Apivita-Dry Dandruff Shampoo -Cleans effectively, reducing the flaking and itching from your scalp!  The Dry dandruff shampoo acts on the problem causes, preventing its reappearance.   Moisturizes and...",prompt_01,openai/gpt-oss-20b,True,2025-08-07T09:50:21.647876,True,groq
