predicted_category,raw_response,model_used,usage,status,latency,exact_match,partial_match,used_fallback,true_category,product_description,prompt_name,model,from_cache,timestamp,langsmith_enabled,mandatory_output
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 1137, 'total_tokens': 1637, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,6.168442964553833,False,False,True,sun-tan/body/normal-skin,"Riemann-P20 Solar Original Spray-Experience unparalleled sun protection with Riemann P20 Solar Original Spray – a breakthrough in eco-friendly, high-performance sunscreen.Embrace the Sun, Respect the ",prompt_mandatory_output,o3-mini,True,2025-08-06T16:44:11.007326,True,True
makeup/eyes-brows/mascara,makeup/eyes-brows/mascara,o3-mini-2025-01-31,"{'completion_tokens': 342, 'prompt_tokens': 1027, 'total_tokens': 1369, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 320, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,4.262430191040039,False,True,False,makeup/eyes-brows/eyeliners-pencil,Clinique-High Impact Gel Tech Eyeliner-Introducing the High Impact Gel Tech Eyeliner – a high-performance eyeliner that's gentle on your eyes.Achieve a deep black shade that won't fade throughout the ,prompt_mandatory_output,o3-mini,True,2025-08-06T16:44:11.007326,True,True
skin/lip-care,skin/lip-care,o3-mini-2025-01-31,"{'completion_tokens': 465, 'prompt_tokens': 1171, 'total_tokens': 1636, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 448, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,6.319056749343872,False,True,False,skin/beauty-tech,"Geske-Lip Volumizer and Booster 4 in 1-Achieve fuller lips instantly with the Lip Volumizer and Booster 4 in 1, your beauty companion for targeted lip volumizing.Delivers instantaneous results for you",prompt_mandatory_output,o3-mini,True,2025-08-06T16:44:11.007326,True,True
skin/seruns,skin/seruns,o3-mini-2025-01-31,"{'completion_tokens': 81, 'prompt_tokens': 1047, 'total_tokens': 1128, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 64, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,1.8650202751159668,False,True,False,skin/first-signs-age/seruns,"The Ordinary-Multi-Peptide + Copper Peptides 1%-Multi-Peptide + Copper Peptides 1% serum is a light, water-based antioxidant serum for the skin.Advanced age serum!A comprehensive formula that combines",prompt_mandatory_output,o3-mini,True,2025-08-06T16:44:11.007326,True,True
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 1019, 'total_tokens': 1519, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,6.073451280593872,False,False,True,sun-tan/self-tanning,Institut Esthederm-Reflets de Soleil-Reflets de Soleil Hydra-Boost Self-Tanning Cream-Gel is a light and ultra sensorial self-tanner.Provides a natural tan!This formulation has a Patented Eau Cellulla,prompt_mandatory_output,o3-mini,True,2025-08-06T16:44:11.007326,True,True
hair/shampoo,hair/shampoo,o3-mini-2025-01-31,"{'completion_tokens': 272, 'prompt_tokens': 1041, 'total_tokens': 1313, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 256, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,3.64493989944458,False,True,False,hair/hair-loss/shampoo,Kerastase-Specifique Bain Prevention Shampoo -Bain Prevention a shampoo that prepares your scalp for a fall-arrest treatment!   Take care of your hair and your scalp at the same time!    Bain Pr&eacut,prompt_mandatory_output,o3-mini,True,2025-08-06T16:44:11.007326,True,True
hair/shampoo,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 981, 'total_tokens': 1481, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,5.748681545257568,False,True,True,hair/hair-loss/masks,"New Nordic-Hair Volume Repair Mask -Hair Volume Repair Mask features  restorative properties for damaged hair.   Strong &amp; healthy hair!   Theformulation presents apple, coconut and hydrolyzed rice",prompt_mandatory_output,o3-mini,True,2025-08-06T16:44:11.007326,True,True
hair/damaged-hair/shampoo,hair/damaged-hair/shampoo,o3-mini-2025-01-31,"{'completion_tokens': 148, 'prompt_tokens': 992, 'total_tokens': 1140, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 128, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,2.8103668689727783,False,True,False,hair/hair-loss/shampoo,Elvive-Elvive Full Resist Fortifying Shampoo -Elvive full resist fortifying shampoo for fragile hairprolongs hair health for a stronger and more resistant fiber!   Stronger and more resistanthair!   I,prompt_mandatory_output,o3-mini,True,2025-08-06T16:44:11.007326,True,True
makeup/lips/lipstick,makeup/lips/lipstick,o3-mini-2025-01-31,"{'completion_tokens': 404, 'prompt_tokens': 1036, 'total_tokens': 1440, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 384, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,5.346381187438965,False,True,False,makeup/lips/lipgloss,"Dermacol-Lip Up Plumping Lip Gloss-Introducing Lip Up Plumping Lip Gloss, a luxurious collection that includes a transparent option and vibrant colors.Glosses that enhance, moisturize, and can even vo",prompt_mandatory_output,o3-mini,True,2025-08-06T16:44:11.007326,True,True
hair/seruns-leave-in,hair/seruns-leave-in,o3-mini-2025-01-31,"{'completion_tokens': 84, 'prompt_tokens': 1132, 'total_tokens': 1216, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 64, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,9.536193370819092,False,True,False,hair/dry-damaged-hair/seruns-leave-in,"Schwarzkopf-BONACURE Moisture Kick Curl Bounce Leave-In-Define, hydrate, and revive your curls for up to 48 hours with Schwarzkopf BONACURE Clean Performance Moisture Kick Curl Bounce Leave-In – the u",prompt_mandatory_output,o3-mini,True,2025-08-06T16:44:11.007326,True,True
