predicted_category,confidence,raw_response,tokens_used,model_used,timestamp,status,concatenated_product,true_category,exact_match,partial_match,prompt_name
sun-tan/body,unknown,sun-tan/body,4680,gpt-4o-mini-2024-07-18,2025-08-06T12:19:43.156527,success,"Riemann-P20 Solar Original Spray-Experience unparalleled sun protection with Riemann P20 Solar Original Spray â a breakthrough in eco-friendly, high-performance sunscreen.Embrace the Sun, Respect the Ocean!Key Benefits:Exceptional sun protection: UVB/SPF 50+ and SPF30 for superior defense.Extended wear: Up to 10 hours of sun protection.Water and sweat resistant: Reliable during water activities and sweaty workouts.Eco-conscious formula: Safe for coral reefs and marine life.Skin-safe assurance: Allergy-certified, fragrance-free, and dermatologically tested.Vegan-friendly: Free from animal-derived ingredients.Riemann P20 Solar Original Spray is more than just sunscreen; it's a commitment to both your skin and the environment. Offering up to 10 hours of high-grade protection in an easy-to-apply, transparent spray, this product is perfect for anyone who loves the outdoors but cares deeply about their skin health and the planet. Whether you're hitting the beach or sweating it out on a hike, Riemann P20 ensures that you and the oceans stay safe and unharmed. Dive into your adventures with confidence!",sun-tan/body/normal-skin,False,True,prompt_HCP
makeup/eyes-brows/eyeliners-pencil,unknown,makeup/eyes-brows/eyeliners-pencil,4577,gpt-4o-mini-2024-07-18,2025-08-06T12:19:44.903461,success,"Clinique-High Impact Gel Tech Eyeliner-Introducing the High Impact Gel Tech Eyeliner â a high-performance eyeliner that's gentle on your eyes.Achieve a deep black shade that won't fade throughout the day!Its smooth gel formula glides effortlessly, delivering intense color that can be applied to the waterline.Eye-safe and ophthalmologist-tested, it's also allergy-tested and suitable for sensitive eyes. This eyeliner is compatible with contact lenses, offering 24-hour lasting power on your eyelids. It's waterproof, ensuring 12 hours of staying power on the waterline.",makeup/eyes-brows/eyeliners-pencil,True,True,prompt_HCP
makeup/lips/lipbalm,unknown,makeup/lips/lipbalm,4716,gpt-4o-mini-2024-07-18,2025-08-06T12:19:46.770873,success,"Geske-Lip Volumizer and Booster 4 in 1-Achieve fuller lips instantly with the Lip Volumizer and Booster 4 in 1, your beauty companion for targeted lip volumizing.Delivers instantaneous results for youthful, plump lips, and enhances the natural lip color!Advantages:4-in-1 beauty companion for targeted lip volumizing;Ultra-Volume Technology for fuller lips instantly;Targeted Instant Lip Volumizing with localized vacuum;Natural Lip Color Revitalizing for intense, healthier lip color;Shape and volume improvement with daily use;Instant additional volume for one or both lips;Youthful, plump lips in an instant;Long-lasting improvements in lip volume and color.Technologies:Natural Lip Color RevitalizingSkin Scan &amp; Personal Routine GuideTargeted Instant Lip VolumizingUltra-Volume TechnologyExperience plump, pout-perfect lips with the Lip Volumizer and Booster 4 in 1. Use daily for long-lasting improvements in lip volume and color.GESKE has received numerous awards for innovative solutions that will change your beauty routine forever, including Elle's No. 1 Beauty Innovation, CES Innovation Award and the world-renowned Red Dot Design Award. Discover the most awarded beauty company in the world and experience the magic for yourself!",skin/beauty-tech,False,False,prompt_HCP
skin/seruns/*/anti-ageing,unknown,skin/seruns/*/anti-ageing,4593,gpt-4o-mini-2024-07-18,2025-08-06T12:19:48.540616,success,"The Ordinary-Multi-Peptide + Copper Peptides 1%-Multi-Peptide + Copper Peptides 1% serum is a light, water-based antioxidant serum for the skin.Advanced age serum!A comprehensive formula that combines various skin-supporting technologies to target multiple signs of aging simultaneously.The formula includes five extensively researched peptide technologies, skin-friendly amino acids, and several hyaluronic acids.This all-in-one solution for skincare helps improve the appearance of fine and dynamic lines while enhancing overall skin elasticity, smoothness, and firmness. The advanced serum contains direct copper peptides, which also address signs of aging linked to oxidative stress, resulting in a more radiant and healthier-looking complexion.",skin/first-signs-age/seruns,False,True,prompt_HCP
sun-tan/self-tanning,unknown,sun-tan/self-tanning,4562,gpt-4o-mini-2024-07-18,2025-08-06T12:19:50.272291,success,Institut Esthederm-Reflets de Soleil-Reflets de Soleil Hydra-Boost Self-Tanning Cream-Gel is a light and ultra sensorial self-tanner.Provides a natural tan!This formulation has a Patented Eau Cellullaire and preserves the youth of cells.; one presents a self-tanning complex that promotes an even and prolonged tan;An active hydration booster that features a natural synthesis of hyaluronic acid and optimizes hydration in the different layers of the skin.<i>Long-lasting hydration for your skin!</i>,sun-tan/self-tanning,True,True,prompt_HCP
hair/shampoo/*,unknown,"hair/shampoo/*
",4581,gpt-4o-mini-2024-07-18,2025-08-06T12:19:51.837851,success,"Kerastase-Specifique Bain Prevention Shampoo -Bain Prevention a shampoo that prepares your scalp for a fall-arrest treatment!   Take care of your hair and your scalp at the same time!    Bain Pr&eacute;vention cleanses and purifies the scalp, being ideal for normal and thick hair!  Contains: - Syst&egrave;me Pro-Actif: combination of a anti-bacterial agent, a soothing agent and an agent. - Gluco-Lipude GL: stimulates the activity since the root and gives the hair the constituent parts of the fiber.  Gives texture to fiber to a volume effect immediately!",hair/hair-loss/shampoo,False,True,prompt_HCP
hair/masks/*,unknown,hair/masks/*,4522,gpt-4o-mini-2024-07-18,2025-08-06T12:19:53.625062,success,"New Nordic-Hair Volume Repair Mask -Hair Volume Repair Mask features  restorative properties for damaged hair.   Strong &amp; healthy hair!   Theformulation presents apple, coconut and hydrolyzed rice protein that helps maintain the moisture balance of the hair and strengthens the strands.  Restores healthy hair appearance, giving exceptional shine and volume!",hair/hair-loss/masks,False,True,prompt_HCP
hair/shampoo/*,unknown,hair/shampoo/*,4533,gpt-4o-mini-2024-07-18,2025-08-06T12:19:55.280487,success,"Elvive-Elvive Full Resist Fortifying Shampoo -Elvive full resist fortifying shampoo for fragile hairprolongs hair health for a stronger and more resistant fiber!   Stronger and more resistanthair!   Its formula enriched with arginine, biotin and vitamin B5 provides clean hair while helping to strengthen and soften the hair fiber.  Stronger and resistant hair, day after day!",hair/hair-loss/shampoo,False,True,prompt_HCP
makeup/lips/lipgloss,unknown,makeup/lips/lipgloss,4581,gpt-4o-mini-2024-07-18,2025-08-06T12:19:57.039106,success,"Dermacol-Lip Up Plumping Lip Gloss-Introducing Lip Up Plumping Lip Gloss, a luxurious collection that includes a transparent option and vibrant colors.Glosses that enhance, moisturize, and can even volumize your lips with regular use!The formula incorporates the active peptide MAXI-LIP, stimulating collagen and glycosaminoglycan synthesis for fuller, bigger-looking lips. Enriched with vitamin E, the gloss also provides anti-aging benefits, smoothing fine lines over time. Experience a light to medium coverage with an ultra-glossy finish, free from any sticky sensations, and achieve beautifully full and sensual lips.",makeup/lips/lipgloss,True,True,prompt_HCP
hair/seruns-leave-in,unknown,hair/seruns-leave-in,4680,gpt-4o-mini-2024-07-18,2025-08-06T12:19:59.195772,success,"Schwarzkopf-BONACURE Moisture Kick Curl Bounce Leave-In-Define, hydrate, and revive your curls for up to 48 hours with Schwarzkopf BONACURE Clean Performance Moisture Kick Curl Bounce Leave-In â the ultimate leave-in solution for bouncy, nourished waves.Define Your Curls, Your Way!Key Benefits:Defines curls and reactivates waves in dry or damp hairBoosts bounce, elasticity, and supplenessProvides weightless hydration and heat protectionVegan formula with no silicones or artificial colorantsActive Ingredients:Glycerol: Deeply hydrates hair and scalp, enhances elasticity, prevents drynessVegan Keratin Alternative: Smoothens and strengthens hair without animal-derived ingredientsCell Equalizer Technology: Restores the hair surface and adds shine and manageabilitySchwarzkopf BONACURE Clean Performance Moisture Kick Curl Bounce Leave-In is a revolutionary leave-in treatment that transforms tired curls into defined, frizz-free waves full of moisture and life. With advanced vegan technology and clean, powerful ingredients, it delivers salon-level results at homeâeffortlessly.",hair/dry-damaged-hair/seruns-leave-in,False,True,prompt_HCP
