predicted_category,confidence,raw_response,tokens_used,model_used,timestamp,status,concatenated_product,true_category,exact_match,partial_match,prompt_name
health-care/oral-health/toothpaste,unknown,health-care/oral-health/toothpaste,5096,gpt-4o-mini-2024-07-18,2025-08-05T09:12:09.199791,success,"Naturbrush-Solid Toothpaste Mint Flavor-Solid Toothpaste provides deep cleansingand is adapted for daily oral hygiene.   A new way to brush your teeth!   A sustainable option and alternative to conventional toothpaste, with xylitol in its composition that hasa power to prevent tooth decayand remove dental plaque is remarkable.  Peppermint oil has antiseptic, antimicrobial and refreshing properties, acting as a 3 in 1.  It presents sodium fluoride (1450 ppm F-) that is present in dental enamel in which itsmain action is to stimulate the remineralization of decalcified enamel,interferingwith the growth and development of bacteria in the dental plate.",health-care/oral-health/toothpaste,True,True,prompt_HCP_02
skin/global-anti-aging/seruns,unknown,skin/global-anti-aging/seruns,5112,gpt-4o-mini-2024-07-18,2025-08-05T09:12:10.963781,success,"Remescar-Vitamin C and Hyaluronic Acid Serum-Achieve brighter, healthier skin with Vitamin C and Hyaluronic Acid Serum. This serum reduces dark spots and hyperpigmentation while protecting against UV rays and repairing sun-damaged skin.Your key to repairing, hydrating, and beautifying your skin!Key benefits:Repairs and brightens the skin;Provides intense hydration and improves skin beauty;Reduces dark spots, hyperpigmentation, and redness;Protects against UV rays and repairs sun-damaged skin;Stimulates collagen production for firmer, smoother skin.With its powerful blend of ingredients, Vitamin C and Hyaluronic Acid Serum repairs, hydrates, and beautifies your skin while reducing dark spots, hyperpigmentation, and redness.",skin/dark-spots/seruns,False,True,prompt_HCP_02
men/body/deodorants,unknown,men/body/deodorants,5097,gpt-4o-mini-2024-07-18,2025-08-05T09:12:12.896886,success,"Givenchy-Gentleman Society Deodorant Spray-Elevate your grooming routine with Givenchy Gentleman Society Deodorant Spray â woody floral freshness and long-lasting deodorizing action for the modern man.Step into the Gentleman Society â where sophistication meets freshness!Key Benefits:Long-lasting deodorizing action for all-day confidence;Infused with the woody floral notes of Gentleman Society;Refreshing formula in eco-conscious packaging made from 100% recycled aluminum.Unite your scent and style with Givenchy Gentleman Society Deodorant Spray. Perfect for enhancing your Gentleman Society fragrance, itâs more than a product â itâs a statement of refined masculinity.",men/perfumes/deodorants,False,True,prompt_HCP_02
skin/sensitive-intolerant-skin/moisturisers/redness-rosacea,unknown,skin/sensitive-intolerant-skin/moisturisers/redness-rosacea,5142,gpt-4o-mini-2024-07-18,2025-08-05T09:12:14.841481,success,"Dermoteca-Dc Moisturizer for Reactive Skin and Rosacea -Moisturization, protection and control of the skim redness!  The Dc moisturizer for reactive skin and rosacea integratesall the qualities these skin types seek in a facial care, thus providing greater comfort, freshness and softness to your skin.   Conforted, for aredness reduction!   Its formula protects the skin from the harmful effects of free radicals thanks to resveratrol and polyphenols from barley malt.  This cream also contains allantoin and shea butter, which strengthen the skin barrier; as well as a SPF 12to protect the skin from the harmful effects of UV radiation.  In addition, the<i>Centella asiatica and the aescinpromote the reinforcement of the blood vessels; and thegreenish tintallows to attenuate the redness.",skin/moisturisers/redness-rosacea,False,True,prompt_HCP_02
skin/cleansers-tonners/normal-skin,unknown,skin/cleansers-tonners/normal-skin,5026,gpt-4o-mini-2024-07-18,2025-08-05T09:12:16.736612,success,"Sensai Kanebo-Silky Purifying Cleansing Milk -Silky Purifying Cleansing milk for a gentle removal of make-up.  A care of softness and freshness for all skin types, which quickly eliminates make-up and impurities!   Careful cleansing of your skin.... always!   All skin types.",skin/cleansers-tonners/normal-skin,True,True,prompt_HCP_02
hair/anti-dandruff/shampoo,unknown,hair/anti-dandruff/shampoo,5169,gpt-4o-mini-2024-07-18,2025-08-05T09:12:18.412590,success,"Ducray-Kelual-Squanorm Shampoo Dry Dandruff-Say goodbye to dry dandruff with Ducray Kelual-Squanorm Shampoo Dry Dandruff. Experience visible flake reduction and soothing relief from the first use, thanks to advanced PROBIOTIC-SCIENCE technology.<i>Pure comfort, no more flakes!</i>Key Benefits:Eliminates visible dry dandruff from the first washSoothes itching and hydrates the scalp instantlyRebalances the scalp's microbiome with PROBIOTIC-SCIENCELong-lasting protection against dandruff recurrenceActive Ingredients:Piroctone Olamine: Antifungal to control dandruffGlycerin: Deeply hydrates and nourishes the scalpDucray Kelual-Squanorm Shampoo Dry Dandruff offers a groundbreaking, clinically proven solution for dry dandruff, leaving your scalp hydrated, itch-free, and balanced. With lasting protection and a commitment to sustainability, itâs the perfect blend of efficacy and eco-responsibility.",hair/anti-dandruff/shampoo,True,True,prompt_HCP_02
health-care/oral-health/toothbrushes-accessories,unknown,health-care/oral-health/toothbrushes-accessories,5130,gpt-4o-mini-2024-07-18,2025-08-05T09:12:20.527424,success,"Elgydium-Pocket Soft Toothbrush-Upgrade your on-the-go dental care with Elgydium Pocket Soft Toothbrush â a foldable, hygienic, and precision tool for a healthy smile, anytime, anywhere.Compact. Clean. Confident!Key BenefitsPortable: Foldable design fits perfectly in your pocket or bag.Precise Cleaning: Short bristles protect enamel; longer bristles clean between teeth and massage gums.Hygienic: Folded design ensures the toothbrush head stays protected and clean.The Elgydium Pocket Soft Toothbrush is the perfect companion for busy lifestyles. Whether at the gym, office, or traveling, it ensures optimal oral hygiene with precision bristles and a sleek, portable design. Elevate your dental care routine wherever you goâcompact convenience never looked so good!",health-care/oral-health/toothbrushes-accessories,True,True,prompt_HCP_02
skin/global-anti-aging/masks-exfoliators,unknown,skin/global-anti-aging/masks-exfoliators,5089,gpt-4o-mini-2024-07-18,2025-08-05T09:12:22.330522,success,"Talika-Bio Enzymes Anti-Ageing Sheet Mask-Revive your skin in just 15 minutes!  The Bio enzymes anti-ageing sheet mask is suitable for the skin that is dehydrated, rough, wrinkled and dull.   Skin becomes plumped,illuminated and incredibly moisturised!   This product combines the watermelon extract, rich in antioxidants; tohyaluronic acid and hydrolyzed collagen, with moisturizing and filling action.  Like a second skin, the biocellulose mask perfectly adheres to your face, retaining a high amount of active ingredients and optimizing the skin penetration.",skin/masks-exfoliators/tissue-masks,False,True,prompt_HCP_02
skin/cleansers-tonners/normal-skin,unknown,skin/cleansers-tonners/normal-skin,5060,gpt-4o-mini-2024-07-18,2025-08-05T09:12:24.106881,success,"Clinique-Rinse Off Foaming Cleanser -Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is a mousse cleanser that removes makeup and waste sunscreen, leaving the skin clean, fresh and hydrated. 	 	 	Its creamy formula turns into a rich foam when in contact with water. 	 	 	Taking into account their long lasting formula is recommended for everyday use.",makeup/complexion/makeup-removers,False,False,prompt_HCP_02
skin/global-anti-aging/seruns,unknown,skin/global-anti-aging/seruns,5095,gpt-4o-mini-2024-07-18,2025-08-05T09:12:25.970298,success,"Lancome-RÃ©nergie Multi-Lift-The Renergie Multi-lift SPF15 is a care inspired by the discoveries of space biology, and itacts on the signs of skin aging, with targeted action on wrinkles, promoting the firmness and density of the skin.   The skin becomes firmer, plumped, redensified, as lifted.   The Up- Coehsion, coupled with the expertise of the Lanc&ocirc;me brand is the main responsible factors for this action.  In just one week firmer,denser skin,, attenuated wrinkles .  After 4 weeks skin visibly filled, in a texture suitable for all skin types.",skin/deep-wrinkles/specific-moisturizers,False,True,prompt_HCP_02
