predicted_category,confidence,raw_response,tokens_used,model_used,timestamp,status,concatenated_product,true_category,exact_match,partial_match,prompt_name
health-care/oral-health/toothpaste,unknown,health-care/oral-health/toothpaste,4593,gpt-4o-mini-2024-07-18,2025-08-06T12:02:17.176147,success,"Naturbrush-Solid Toothpaste Mint Flavor-Solid Toothpaste provides deep cleansingand is adapted for daily oral hygiene.   A new way to brush your teeth!   A sustainable option and alternative to conventional toothpaste, with xylitol in its composition that hasa power to prevent tooth decayand remove dental plaque is remarkable.  Peppermint oil has antiseptic, antimicrobial and refreshing properties, acting as a 3 in 1.  It presents sodium fluoride (1450 ppm F-) that is present in dental enamel in which itsmain action is to stimulate the remineralization of decalcified enamel,interferingwith the growth and development of bacteria in the dental plate.",health-care/oral-health/toothpaste,True,True,prompt_HCP
skin/seruns/*/dark-spots,unknown,skin/seruns/*/dark-spots,4610,gpt-4o-mini-2024-07-18,2025-08-06T12:02:18.176814,success,"Remescar-Vitamin C and Hyaluronic Acid Serum-Achieve brighter, healthier skin with Vitamin C and Hyaluronic Acid Serum. This serum reduces dark spots and hyperpigmentation while protecting against UV rays and repairing sun-damaged skin.Your key to repairing, hydrating, and beautifying your skin!Key benefits:Repairs and brightens the skin;Provides intense hydration and improves skin beauty;Reduces dark spots, hyperpigmentation, and redness;Protects against UV rays and repairs sun-damaged skin;Stimulates collagen production for firmer, smoother skin.With its powerful blend of ingredients, Vitamin C and Hyaluronic Acid Serum repairs, hydrates, and beautifies your skin while reducing dark spots, hyperpigmentation, and redness.",skin/dark-spots/seruns,False,True,prompt_HCP
men/body/deodorants-antiperspirants,unknown,men/body/deodorants-antiperspirants,4598,gpt-4o-mini-2024-07-18,2025-08-06T12:02:19.177225,success,"Givenchy-Gentleman Society Deodorant Spray-Elevate your grooming routine with Givenchy Gentleman Society Deodorant Spray â woody floral freshness and long-lasting deodorizing action for the modern man.Step into the Gentleman Society â where sophistication meets freshness!Key Benefits:Long-lasting deodorizing action for all-day confidence;Infused with the woody floral notes of Gentleman Society;Refreshing formula in eco-conscious packaging made from 100% recycled aluminum.Unite your scent and style with Givenchy Gentleman Society Deodorant Spray. Perfect for enhancing your Gentleman Society fragrance, itâs more than a product â itâs a statement of refined masculinity.",men/perfumes/deodorants,False,True,prompt_HCP
skin/moisturisers/redness-rosacea,unknown,skin/moisturisers/redness-rosacea,4632,gpt-4o-mini-2024-07-18,2025-08-06T12:02:20.178134,success,"Dermoteca-Dc Moisturizer for Reactive Skin and Rosacea -Moisturization, protection and control of the skim redness!  The Dc moisturizer for reactive skin and rosacea integratesall the qualities these skin types seek in a facial care, thus providing greater comfort, freshness and softness to your skin.   Conforted, for aredness reduction!   Its formula protects the skin from the harmful effects of free radicals thanks to resveratrol and polyphenols from barley malt.  This cream also contains allantoin and shea butter, which strengthen the skin barrier; as well as a SPF 12to protect the skin from the harmful effects of UV radiation.  In addition, the<i>Centella asiatica and the aescinpromote the reinforcement of the blood vessels; and thegreenish tintallows to attenuate the redness.",skin/moisturisers/redness-rosacea,True,True,prompt_HCP
skin/cleansers-tonners/normal-skin,unknown,skin/cleansers-tonners/normal-skin,4523,gpt-4o-mini-2024-07-18,2025-08-06T12:02:21.178816,success,"Sensai Kanebo-Silky Purifying Cleansing Milk -Silky Purifying Cleansing milk for a gentle removal of make-up.  A care of softness and freshness for all skin types, which quickly eliminates make-up and impurities!   Careful cleansing of your skin.... always!   All skin types.",skin/cleansers-tonners/normal-skin,True,True,prompt_HCP
hair/anti-dandruff/shampoo,unknown,hair/anti-dandruff/shampoo,4666,gpt-4o-mini-2024-07-18,2025-08-06T12:02:22.179459,success,"Ducray-Kelual-Squanorm Shampoo Dry Dandruff-Say goodbye to dry dandruff with Ducray Kelual-Squanorm Shampoo Dry Dandruff. Experience visible flake reduction and soothing relief from the first use, thanks to advanced PROBIOTIC-SCIENCE technology.<i>Pure comfort, no more flakes!</i>Key Benefits:Eliminates visible dry dandruff from the first washSoothes itching and hydrates the scalp instantlyRebalances the scalp's microbiome with PROBIOTIC-SCIENCELong-lasting protection against dandruff recurrenceActive Ingredients:Piroctone Olamine: Antifungal to control dandruffGlycerin: Deeply hydrates and nourishes the scalpDucray Kelual-Squanorm Shampoo Dry Dandruff offers a groundbreaking, clinically proven solution for dry dandruff, leaving your scalp hydrated, itch-free, and balanced. With lasting protection and a commitment to sustainability, itâs the perfect blend of efficacy and eco-responsibility.",hair/anti-dandruff/shampoo,True,True,prompt_HCP
health-care/oral-health/toothbrushes-accessories,unknown,health-care/oral-health/toothbrushes-accessories,4627,gpt-4o-mini-2024-07-18,2025-08-06T12:02:23.179797,success,"Elgydium-Pocket Soft Toothbrush-Upgrade your on-the-go dental care with Elgydium Pocket Soft Toothbrush â a foldable, hygienic, and precision tool for a healthy smile, anytime, anywhere.Compact. Clean. Confident!Key BenefitsPortable: Foldable design fits perfectly in your pocket or bag.Precise Cleaning: Short bristles protect enamel; longer bristles clean between teeth and massage gums.Hygienic: Folded design ensures the toothbrush head stays protected and clean.The Elgydium Pocket Soft Toothbrush is the perfect companion for busy lifestyles. Whether at the gym, office, or traveling, it ensures optimal oral hygiene with precision bristles and a sleek, portable design. Elevate your dental care routine wherever you goâcompact convenience never looked so good!",health-care/oral-health/toothbrushes-accessories,True,True,prompt_HCP
skin/firming-anti-ageing/masks-exfoliators,unknown,skin/firming-anti-ageing/masks-exfoliators,4589,gpt-4o-mini-2024-07-18,2025-08-06T12:02:24.180431,success,"Talika-Bio Enzymes Anti-Ageing Sheet Mask-Revive your skin in just 15 minutes!  The Bio enzymes anti-ageing sheet mask is suitable for the skin that is dehydrated, rough, wrinkled and dull.   Skin becomes plumped,illuminated and incredibly moisturised!   This product combines the watermelon extract, rich in antioxidants; tohyaluronic acid and hydrolyzed collagen, with moisturizing and filling action.  Like a second skin, the biocellulose mask perfectly adheres to your face, retaining a high amount of active ingredients and optimizing the skin penetration.",skin/masks-exfoliators/tissue-masks,False,True,prompt_HCP
skin/cleansers-tonners/dry-skin,unknown,skin/cleansers-tonners/dry-skin,4557,gpt-4o-mini-2024-07-18,2025-08-06T12:02:25.181022,success,"Clinique-Rinse Off Foaming Cleanser -Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is a mousse cleanser that removes makeup and waste sunscreen, leaving the skin clean, fresh and hydrated. 	 	 	Its creamy formula turns into a rich foam when in contact with water. 	 	 	Taking into account their long lasting formula is recommended for everyday use.",makeup/complexion/makeup-removers,False,False,prompt_HCP
skin/firming-anti-ageing/seruns,unknown,skin/firming-anti-ageing/seruns,4595,gpt-4o-mini-2024-07-18,2025-08-06T12:02:26.181551,success,"Lancome-RÃ©nergie Multi-Lift-The Renergie Multi-lift SPF15 is a care inspired by the discoveries of space biology, and itacts on the signs of skin aging, with targeted action on wrinkles, promoting the firmness and density of the skin.   The skin becomes firmer, plumped, redensified, as lifted.   The Up- Coehsion, coupled with the expertise of the Lanc&ocirc;me brand is the main responsible factors for this action.  In just one week firmer,denser skin,, attenuated wrinkles .  After 4 weeks skin visibly filled, in a texture suitable for all skin types.",skin/deep-wrinkles/specific-moisturizers,False,True,prompt_HCP
sun-tan/face/oily-combination-skin,unknown,sun-tan/face/oily-combination-skin,4806,gpt-4o-mini-2024-07-18,2025-08-06T12:02:28.436719,success,"Sesderma-Repaskin Urban 365 Oily Skin Sunscreen-Unveil the secret to flawless, protected skin with Repaskin Urban 365 Sunscreen for Oily Skin â your shield against the sun, pollution, and imperfections.Embrace Radiance, Embrace Protection!Key Benefits:<ol>High SPF50 Protection: Shields against harmful UVB/UVA/IR rays.Non-Comedogenic: Ideal for oily and acne-prone skin without clogging pores.Blue Light Protection: Defends against digital screen exposure.Anti-Pollution: Guards against environmental stressors.Water-Resistant: Long-lasting protection.Eye-Friendly Formula: Gentle and non-irritating.Marine Ecosystem Tested: Eco-conscious and safe for marine life.Quick Absorption with Matte Finish: Ultralight texture for a non-greasy, shine-free look.</ol>Active Ingredients: A fusion of physical and chemical filters, restorative enzymes, antioxidants like Polypodium leucotomos</i> and Thermus thermofillus</i>, plus niacinamide and salicylic acid.Repaskin Urban 365 Sunscreen is more than just a sunscreen; it's a daily defense system for your skin. Perfect for all skin types and especially for those with oily, acne-prone skin, this sunscreen offers an ultralight, matte finish without leaving any white residue. Powered by SHIELD-SYSTEM technology, it not only protects but also repairs skin from sun damage, preventing wrinkles and fine lines. Eco-friendly packaging and marine-safe formulas make Repaskin a conscientious choice for the environment-savvy. Step out confidently every day of the year with Repaskin â your ultimate companion for skin protection and perfection!",sun-tan/face/combination-to-oily-skin,False,True,prompt_HCP
skin/firming-anti-ageing/seruns,unknown,skin/firming-anti-ageing/seruns,4568,gpt-4o-mini-2024-07-18,2025-08-06T12:02:30.587741,success,"Eucerin-Dermopure Oil Control Adjunctive Soothing Cream -Dermopure oil control adjunctive soothing cream is a complementary restorative care to acne treatments.   Strengthens the skin!   Formulated with symsitive&reg;, licochalcone A, ceramides and panthenol with a soothing, restorative, fortifying and moisturizingskin action.  Attenuates the side effects caused by acne treatments, favoring adherence to therapy, stimulating skin regeneration.  Ideal for acne-prone skin.",skin/moisturisers/oiliness-acne-pores,False,True,prompt_HCP
men/perfumes/fragrances,unknown,men/perfumes/fragrances,4570,gpt-4o-mini-2024-07-18,2025-08-06T12:02:32.173036,success,"Zadig Voltaire-This Is Him! Eau de Toilette -This is Him!a spicy oriental aroma associated with sandalwood, Zadig &amp; Voltaire signature.Manly, wild and free!For the man with rocker features but, a gentleman in his essence.This is Him! integrates the two facets of this man into one fragrance that evokes virility and freedom in the spontaneity of his personality.This fragrance was launched simultaneously with This is Her! for a woman who doesn't mind standing out in the crowd.Together, they create a pair in full harmony.",men/perfumes/fragrances,True,True,prompt_HCP
